,Index,Delta
0,199,0.1146318145950453
1,205,0.07385972987239256
2,232,0.16759975188963327
3,267,0.16005538203845346
4,284,0.08056564793902825
5,303,0.14982108038838454
6,400,0.16394526319805597
7,461,0.14942192914909658
8,465,0.11506397325847045
9,481,0.1667866122207277
