x,y
-9321305.61288,4876922.71654
-9321413.70411,4875637.64459
-9321468.80725,4888464.56063
-9321580.90598,4873535.97867
-9321626.32433,4881528.75742
-9321747.32862,4885012.43104
-9321772.04155,4871418.76455
-9321854.64061,4883580.29494
-9321946.03391,4895931.84080
-9321947.70370,4895911.87196
-9321993.78997,4895528.97368
-9322081.50973,4894134.36988
-9322103.99627,4893788.11774
-9322138.39399,4879961.93345
-9322153.97872,4896066.81371
-9322177.24449,4892727.14029
-9322365.26311,4890681.86335
-9322539.36680,4888548.45424
-9322540.25735,4888533.45238
-9323197.37631,4900292.13568
-9323274.85467,4900837.67249
-9323285.20739,4881661.78734
-9323303.68642,4898164.08647
-9323419.01341,4880078.20696
-9323518.42172,4879507.76675
-9323558.60806,4875822.81618
-9323836.46150,4872647.30441
-9323927.07557,4871589.02652
-9324102.96037,4900873.10937
-9324217.06284,4877989.42086
-9324278.51120,4893961.82521
-9324365.78568,4892902.43197
-9324548.68361,4890833.51810
-9324686.49714,4881784.33945
-9325211.14590,4881829.60552
-9325295.08079,4884466.01981
-9325505.47463,4875970.60682
-9325852.79144,4898367.75863
-9326070.19841,4898373.73619
-9326161.48039,4873906.68308
-9326252.87369,4872854.23290
-9326456.25440,4894134.51561
-9326847.31977,4888837.57224
-9326877.15340,4881431.53319
-9326909.65869,4902088.68575
-9326942.94321,4901640.21034
-9326996.71053,4887844.41079
-9327254.63779,4888441.54827
-9327865.44783,4878392.88384
-9327987.45400,4901966.02753
-9328092.42828,4873000.08881
-9328201.07610,4899599.21175
-9328268.09043,4898523.75947
-9328485.38608,4888984.97470
-9328544.60805,4881556.26565
-9328914.96799,4903945.80962
-9329057.01166,4901816.09778
-9329089.07168,4876602.81493
-9329425.25654,4897576.85769
-9329439.39411,4894379.20195
-9329452.52981,4891187.82530
-9329675.39144,4873453.37558
-9329676.17067,4884849.21792
-9329754.09432,4891219.58537
-9329775.35634,4884857.08004
-9329859.06859,4883789.78122
-9329923.52258,4891406.79700
-9330098.18286,4889105.72400
-9330132.69190,4888655.36137
-9330154.39920,4893341.91337
-9330155.84636,4901903.45929
-9330330.50664,4899759.46067
-9330488.13504,4897655.28891
-9330573.62841,4896606.57800
-9330646.87663,4881717.96900
-9330838.68011,4893427.01415
-9330896.34361,4878576.94291
-9330917.16035,4878254.07792
-9331079.57549,4876065.88641
-9331212.49096,4874281.76453
-9332009.76116,4904189.57213
-9332049.72485,4891406.79700
-9332050.72673,4904007.80729
-9332055.06819,4874351.86663
-9332073.32459,4876167.71294
-9332262.01112,4888634.67898
-9332270.24877,4902064.76655
-9332423.09043,4904226.33397
-9332521.05158,4885078.38680
-9332570.36611,4884003.78499
-9332584.50369,4897820.46301
-9332658.75379,4878165.17913
-9332659.64434,4896767.21568
-9332738.23590,4881879.23833
-9332806.69739,4879716.14825
-9332911.67167,4893781.12287
-9333085.55272,4891485.17926
-9333293.05225,4902144.54607
-9333335.79893,4888749.88922
-9333399.69632,4888782.51537
-9333459.92016,4900016.24347
-9334286.02210,4889629.66777
-9334376.30221,4888651.57445
-9334562.42840,4884148.64051
-9334624.76732,4885219.61804
-9334817.46135,4875460.47659
-9334848.51949,4882046.91465
-9335133.83135,4904417.14759
-9335167.78379,4891654.91250
-9335225.33597,4882118.38172
-9335273.75995,4894812.19066
-9335278.76932,4890601.59362
-9335432.83550,4888710.12624
-9335603.82224,4900172.70782
-9335617.73717,4879979.83279
-9335675.73463,4899127.66633
-9335695.21554,4888519.47008
-9335831.69323,4897011.23835
-9335889.24541,4903580.10421
-9335949.24662,4881376.66305
-9335974.51614,4902392.49385
-9335977.85573,4872485.16740
-9336004.01581,4894894.82647
-9336009.35914,4877884.66576
-9336059.00763,4880016.06813
-9336100.30717,4872565.29038
-9336252.59223,4902588.23114
-9336459.20120,4904485.85891
-9336719.80013,4885372.64509
-9336761.65626,4885375.70274
-9336854.94199,4890726.87878
-9337029.60227,4888619.67699
-9337060.10382,4894976.44277
-9337259.92230,4873162.08883
-9337301.55579,4891831.93353
-9337418.21862,4902017.51171
-9337654.88385,4872861.06758
-9337890.21326,4899280.32560
-9338006.98740,4873789.90024
-9338080.23563,4888696.72630
-9338086.46952,4881111.34037
-9338125.65398,4895048.14907
-9338161.27622,4880198.12000
-9338213.26242,4875928.27680
-9338257.34494,4885320.37393
-9338360.20415,4891909.15358
-9338372.33797,4877230.40792
-9338606.33154,4888731.82836
-9338819.28573,4885810.91835
-9338861.92109,4885541.54544
-9338869.93610,4899346.08501
-9339025.22679,4897236.02443
-9339167.93837,4895122.62507
-9339362.52484,4883473.29705
-9339820.82719,4885609.39760
-9339890.51319,4871756.67417
-9340064.50555,4883524.39386
-9340188.73810,4871794.91510
-9340207.32846,4881385.39568
-9340222.91319,4895198.41336
-9340285.47474,4880370.86137
-9340344.80803,4879603.37141
-9340476.05371,4877379.96539
-9340487.07434,4892050.62809
-9340646.70649,4903769.88423
-9340939.58807,4871257.66539
-9341008.16088,4877280.45414
-9341180.14949,4903809.12436
-9341290.46710,4901979.15378
-9341296.36704,4901977.11192
-9341347.68532,4899531.11769
-9341791.18217,4874057.93562
-9341803.53864,4873902.46549
-9341804.20655,4873891.84882
-9341982.54038,4899584.48473
-9342003.46844,4871346.64764
-9342149.96489,4897470.58293
