-9337868.505957562|5065160.345296252
-9337858.375883901|5067320.073475322
-9337855.48157714|5060866.35280001
-9337847.021295842|5069475.537196364
-9337836.668583196|5072982.365881666
-9337832.104484074|5058709.846000771
-9337802.270860542|5056574.564851214
-9337779.67300391|5054352.6484676935
-9337757.075147279|5052213.145819379
-9337730.024511017|5050041.540045095
-9337726.573606802|5047900.918233543
-9337708.651168784|5045733.5363380145
-9337684.940117246|5043588.836032811
-9337664.679969922|5042510.745671531
-9337657.221564038|5041441.50396081
-9337643.974544635|5040358.031442067
-9337628.05585745|5039274.384298881
-9337606.793834709|5037127.269105225
-9336989.304619279|5072908.004497995
-9336792.046481593|5073024.073814939
-9336785.144673163|5072941.251832192
-9336782.918283349|5072629.117311006
-9336747.630004765|5069488.7423607055
-9336632.525651287|5073222.67135973
-9336601.578832844|5073072.906464294
-9336413.894171368|5073286.496551298
-9336322.723508408|5063022.006745851
-9336316.378297433|5073309.948704566
-9336226.32082938|5073331.471300485
-9336190.475953346|5073339.635056328
-9336116.67113095|5073026.300222144
-9336093.182718392|5073362.938906492
-9336081.60549135|5064275.44276625
-9336002.791291868|5073384.610053371
-9335967.83697176|5073393.0707198195
-9335711.468184462|5073453.186195219
-9335709.353114136|5073288.2777254945
-9335707.905960757|5073122.18464686
-9335704.677695524|5072664.293164169
-9335704.232417561|5072716.834550899
-9335697.775887094|5071650.626966661
-9335690.651439684|5063025.861853828
-9335664.713998329|5068412.506575111
-9335654.138646703|5039308.255681442
-9335650.576422997|5065175.472540415
-9335650.465103507|5065177.845443609
-9335644.231212022|5055498.433939944
-9335588.460147135|5073276.403237065
-9335572.986737916|5073419.640229395
-9335566.864165923|5073488.2166203875
-9335566.307568468|5073111.052505283
-9335523.226925531|5073270.169136498
-9335418.252645714|5037165.865061212
-9335416.36021437|5073095.764385131
-9335409.347086448|5041461.180374361
-9335403.78111191|5073222.077639003
-9335399.996249223|5073258.591531846
-9335385.079437457|5073404.351619971
-9335377.843670554|5073472.9279022245
