st_x|st_y|count
-9311162.069560332|5037864.907317624|4
-9310844.475053098|5037886.646905978|2
-9311169.527966214|5038247.945302267|3
-9311296.76614419|5038439.76576784|2
-9311177.654289043|5038413.735936825|4
-9311302.777396694|5038617.095852851|3
-9312005.871300545|5039275.567576625|3
-9311751.840222554|5039268.024183481|3
-9312181.86741549|5039280.744418452|2
-9312562.24611553|5039647.123936971|3
-9312533.414367413|5039743.71317529|3
-9312504.91657777|5039840.747131885|3
-9311626.049197959|5039263.73480569|3
-9311331.275186336|5039257.226787841|5
-9309760.111893281|5039607.186861089|3
-9309763.562797494|5039246.133585671|2
-9311798.149130723|5037114.551697462|3
-9301386.771115301|5036945.677934995|3
-9301385.323961921|5037121.797660305|3
-9301969.862608077|5037701.788016985|3
-9301829.488730185|5037623.704681857|3
-9301900.733204292|5037696.907790103|2
-9301826.705742916|5037696.020476388|2
-9301756.574463716|5037622.225836887|3
-9301760.025367932|5037545.917742657|2
-9301827.37365986|5037553.755561848|2
-9301529.371383008|5037541.185477536|2
-9301679.76401507|5037544.73467616|2
-9301602.396968966|5037617.641418909|3
-9301457.236352973|5037614.535846671|3
-9301302.947538733|5037611.282391108|3
-9301380.091945853|5037538.523579422|2
-9301381.427779742|5037388.275404754|3
-9301530.150619444|5037392.563952237|3
-9301384.767364467|5037158.027555792|2
-9301230.8125087|5037264.647748483|2
-9301077.74820886|5037386.057191282|2
-9301226.025770595|5037536.896864264|4
-9301224.578617215|5037612.02181273|2
-9300995.705744145|5037682.415009609|3
-9301231.925703607|5037119.579507837|3
-9301234.93132986|5037000.687278709|2
-9301236.71244171|5036943.903445236|2
-9295473.813722834|5036863.312377878|2
-9295453.776214492|5037937.816469746|2
-9299080.231266066|5039523.02371071|2
-9300152.683240367|5039052.965995262|2
-9299082.45765588|5039047.4934626715|2
-9299082.680294862|5039006.671425218|2
-9299096.149953248|5037960.4435595535|2
-9300157.469978472|5037978.634003407|5
-9301218.344725732|5038516.524597189|6
-9301220.014518093|5038353.542220483|2
-9301069.733205521|5037833.111408897|2
-9301071.736956356|5037757.2453133315|2
-9301146.432334678|5037757.984746092|3
-9301223.242783327|5037756.210107559|2
-9301223.242783327|5037758.72417891|2
-9301221.684310455|5037833.702959738|6
-9301220.014518093|5037916.668322474|6
-9301068.174732652|5037906.611877032|2
-9301219.903198604|5037984.253822237|4
-9301221.684310455|5038129.482902574|4
-9301220.237157073|5038241.437966806|4
-9301219.68055962|5038277.672049395|3
-9301372.52222048|5038130.074471507|6
-9301299.941912482|5037762.125570606|3
-9301453.674129268|5037764.048096875|3
-9301452.67225385|5037838.287479953|2
-9301524.584644904|5037839.0269189|3
-9301599.83662068|5037766.710056953|3
-9301599.502662206|5037840.653684782|2
-9301674.086721038|5037935.893908996|3
-9301822.809560739|5037941.365813672|3
-9301752.678281538|5037843.1677780505|2
-9301754.125434918|5037769.076244301|3
-9301899.620009385|5037771.590318995|3
-9301896.725702625|5037845.533984072|2
-9301974.092748726|5037772.47763963|2
-9301966.18906488|5037942.105260486|3
-9301370.295830665|5038519.926254951|4
-9301295.043854889|5038518.151476839|2
-9302266.195092568|5039457.202424318|2
-9302262.744188353|5039095.26729744|2
-9303812.645458668|5039156.500978184|2
-9305448.040097913|5039925.652641346|3
-9304937.751552114|5039190.224040112|3
-9304047.41826475|5039164.340100525|2
-9304949.885376614|5038117.651531477|3
-9305485.109488348|5038133.62388587|2
-9302806.76253986|5038048.586191061|2
-9303360.91096503|5037247.1980388705|2
